REGISTRO NON CONFORMITA' INTERNE - AURORA FOOD GROUP S.R.L. - ANNO 2026 - MOD-QA-18 rev.3 - agg. Pozzato S.
NC-2026-092;12/05/2026;interna;Qualità;Blocco cautelativo lotti L26130 e L26131 tutte le referenze Linea 1 coinvolte, circa 8.400 confezioni di cui 5.100 gia a scaffale;AF-SN-0450 L26130 / L26131;critica;v. NC-2026-088 NC-2026-089 NC-2026-091;segregazione magazzino, conteggio giacenze, procedura ritiro CRISI GDO in pre-allerta, stima costo ritiro 31.500;Fantin M.;;APERTA;31.500,00
NC-2026-093;13/05/2026;interna;Magazzino;Segregazione L26130/L26131: 3 pallet gia in baia carico per Ali, richiamati prima della partenza;AF-SN-0450 L26130-L1-T2;alta;flusso blocco lotti non immediato su MOD-MAG-02;etichette BLOCCATO rosse su tutti i pallet, blocco anche a gestionale;Faggionato N.;13/05/2026;CHIUSA;280,00
NC-2026-094;14/05/2026;reclamo;Qualità;Tosano QA (dott.ssa Perbellini) chiede relazione scritta entro 48 h su reclamo corpo estraneo lotto L26130, in valutazione ritiro cautelativo da punti vendita;AF-SN-0450 L26130;critica;v. NC-2026-091;relazione in preparazione (Marchetti/Fantin), riunione con Bertoldi G. 15/05 ore 8:00;Marchetti E.;;APERTA;
NC-2026-095;14/05/2026;interna;Laboratorio;Analisi frammento reclamo: materiale plastico rigido azzurro ~9 mm, compatibile visivamente con guarnizione provvisoria PKM-450, inviato ad Analytica Veneta per conferma FTIR;AF-SN-0450 L26130;critica;v. NC-2026-089;esito FTIR atteso entro 20/05, conservazione controcampione;Pozzato S.;;APERTA;350,00
NC-2026-096;14-mag-26;interna;Linea 1;Ricontrollo confezioni L26130 residue in magazzino: trovati altri 2 frammenti azzurri in 1.240 confezioni ispezionate;AF-SN-0450 L26130-L1-T2;critica;v. NC-2026-089;ispezione estesa al 100% del residuo, conteggio frammenti vs guarnizione ricostruita;Zanella D.;;APERTA;1.900,00
NC-2026-097;15/05/2026;interna;Manutenzione;Sostituzione valvola azoto PKM-450 con ricambio originale Pakmatic, guarnizione provvisoria rimossa e ricostruita a banco: mancano circa 2 cm2 di materiale;;critica;v. NC-2026-089;fotografia e verbale ricostruzione, materiale mancante compatibile con frammenti trovati, relazione a QA;Dal Maso I.;15/05/2026;CHIUSA;760,00
NC-2026-098;15/05/2026;interna;Direzione;Riunione di crisi: decisione su ritiro cautelativo L26130/L26131 rinviata in attesa esito FTIR e conteggio frammenti, posizione Tosano da gestire entro 48 h;;critica;v. NC-2026-092 NC-2026-094;bozza comunicazione a Tosano, pre-allerta procedura ritiro, valutazione assicurazione RC prodotto;Fantin M.;;APERTA;
NC-2026-099;18/05/2026;interna;Qualità;Audit interno straordinario su gestione ricambi e doppia firma CCP: entrambe le NC audit CSQA risultano di fatto riaperte dagli eventi del 10/05;;alta;efficacia azioni correttive di febbraio non verificata sul campo;verifica efficacia con checklist settimanale per 8 settimane, riesame direzione straordinario proposto;Marchetti E.;;APERTA;
NC-2026-100;19/05/2026;interna;Spedizioni;Camion reso lotti bloccati da CE.DI. Cerea: 2 pallet L26131 rientrati con cartoni bagnati, non riutilizzabili nemmeno per ispezione;AF-SN-0450 L26131;media;telo camion vettore danneggiato;conteggio a parte, addebito a vettore in valutazione;Faggionato N.;;APERTA;540,00
NC-2026-101;19/05/2026;interna;Linea 2;Tampone proteina latte su sfogliatrice dopo cambio produzione bio: esito positivo al primo test, rilavaggio e ritest negativo;AF-CR-0220 L26139-L2-T1;alta;lavaggio intermedio abbreviato per recupero tempi promo;ribadita sequenza allergeni da matrice, ritest obbligatorio prima di avvio bio;Ben Salah A.;22/05/2026;CHIUSA;310,00
NC-2026-102;20/05/2026;interna;Laboratorio;Esito FTIR Analytica Veneta: frammento compatibile con elastomero guarnizione non originale, incompatibile con film MAP e con MOCA di linea;AF-SN-0450 L26130;critica;conferma origine interna (v. NC-2026-089);trasmissione esito a Tosano QA, aggiornamento relazione, decisione ritiro attesa da direzione;Marchetti E.;;APERTA;
NC-2026-103;21/05/2026;interna;HR;Sessione recupero formazione HACCP erogata, 2 assenti su 9 per turni;;bassa;v. NC-2026-081;sessione integrativa 04/06;Sartori F.;;IN CORSO;
NC-2026-104;22/05/2026;interna;Magazzino;Conteggio finale giacenze bloccate: 3.290 confezioni in stabilimento, 5.100 stimate a scaffale, riconciliazione con venduto Tosano in corso;AF-SN-0450 L26130 / L26131;alta;v. NC-2026-092;riconciliazione con dati sell-in Tosano, report a direzione;Faggionato N.;;APERTA;
NC-2026-105;25/05/2026;fornitore;Qualità;Contestazione a Pakmatic: ricambio originale ordinato 08/05 consegnato 15/05 oltre termine urgenza concordato;F0077;media;disponibilita ricambio a magazzino fornitore;richiesta scorta ricambi critici in conto deposito;Dal Maso I.;;APERTA;
NC-2026-106;26/05/2026;interna;Linea 1;Verifica efficacia doppia firma: su 21 registrazioni MOD-QA-12 settimana 21, 19 con seconda firma, 2 senza;L26146-L1-T1;media;assimilazione prassi ancora parziale;prosegue monitoraggio 8 settimane, richiamo individuale;Marchetti E.;;IN CORSO;
NC-2026-107;27/05/2026;interna;Direzione;Preavviso ispezione ATS/ULSS 9 del 09/06 su requisiti strutturali Reg. CE 852/2004 All. II: sopralluogo interno evidenzia 4 punti critici (pavimento zona forni, zanzariere, spogliatoio L3, intonaco cella CF-01);;alta;manutenzione strutturale rinviata per priorita di cassa;piano interventi urgenti pre-ispezione, preventivi entro 30/05;Fantin M.;;APERTA;8.500,00
NC-2026-108;28/05/2026;interna;Amministrazione;Costo evento L26130: prima stima complessiva (blocco+ispezioni+FTIR+eventuale ritiro) oltre 40.000, riserva a bilancio da definire;;alta;v. NC-2026-092;quantificazione con Trentin, informativa a Bellotto per trattamento contabile;Trentin L.;;APERTA;40.000,00
NC-2026-109;28/05/2026;interna;Linea 3;TS-01 fermo 2 h per allarme compressore, produzione dirottata su cella con monitoraggio manuale CCP4;AF-CR-0215 L26148-L2-T2;alta;obsolescenza impianto, v. NC-2026-067;pressing su cronoprogramma installazione Criotech;Guerra R.;;APERTA;1.750,00
NC-2026-109;28/05/2026;interna;Linea 3;TS-01 fermo 2 h per allarme compressore, produzione dirottata su cella con monitoraggio manuale CCP4;AF-CR-0215 L26148-L2-T2;alta;obsolescenza impianto, v. NC-2026-067;pressing su cronoprogramma installazione Criotech;Guerra R.;;APERTA;1.750,00
NC-2026-110;29/05/2026;interna;Qualità;Riesame straordinario SGQ post-evento L26130 convocato per il 05/06, odg: efficacia azioni audit, gestione crisi, risorse manutenzione;;alta;v. NC-2026-099;convocazione inviata da RSGQ a direzione e capiturno;Marchetti E.;;APERTA;
NC-2026-111;29/05/2026;interna;Spedizioni;Slot Cerea del 29/05 ore 7:30: arrivo 7:26, scarico regolare ma bolle pallet EPAL non firmate dal ricevimento;;bassa;fretta in banchina lato CE.DI.;v. contenzioso pedane con Vantini, buoni pallet da regolarizzare;Faggionato N.;;APERTA;
NC-2026-112;29/5/26;interna;Linea 2;Ordine promo settimana 22 ridotto da Tosano a 48 h dal carico, 1.800 cartoni gia prodotti in eccesso;AF-CR-0215 L26146-L2-T1;media;variazione ordini promo senza preavviso contrattuale;ricollocazione su altri clienti, segnalazione a commerciale (Bertoldi S.);Zanella D.;;APERTA;2.150,00
NC-2026-113;29/05/2026;interna;CIP;Registrazione IO-05 lavaggio linea 1 post-blocco lotti: fase sanificazione PAA registrata senza concentrazione misurata;;media;kit titolazione esaurito;riordino kit da Chemifood, lavaggio ripetuto con misura;Pozzato S.;;IN CORSO;140,00
NC-2026-114,30/05/2026,interna,Magazzino,Cella CF-02 porta rimasta socchiusa 35 min durante inventario lotti bloccati, T salita a -15,2, prodotto ok da datalogger,,media,fermo porta difettoso,riparazione fermo porta, allarme porta aperta ridotto a 5 min,Faggionato N.,,APERTA,320,00
NC-2026-115;30/05/2026;reclamo;Qualità;Richiesta sig.ra Grigolon di riscontro scritto: sollecito, seconda mail senza risposta da 10 gg;AF-SN-0450 L26130;alta;gestione reclamo assorbita dal fronte Tosano;lettera di riscontro predisposta, invio previsto 03/06 con esito FTIR;Marchetti E.;;APERTA;
NC-2026-116;;interna;Linea 1;Prova tenuta MAP post-sostituzione valvola: O2 residuo medio 1,6%, conforme su 60 confezioni;AF-SN-0450 L26149-L1-T1;bassa;;esito registrato, chiusura monitoraggio orario;Zanella D.;30/05/2026;CHIUSA;0
NC-2026-117;31/05/2026;interna;Direzione;Mancato aggiornamento analisi rischi food defense dopo evento corpo estraneo;;media;priorita assorbite dalla gestione crisi;aggiornamento pianificato con consulente Vicentini entro giugno;Marchetti E.;;APERTA;
NC-2026-118;31/05/2026;interna;Amministrazione;Registrazione costi NC maggio incompleta: 6 NC senza costo stimato, riepilogo mensile non quadrato;;bassa;celle vuote nel registro, v. righe precedenti;richiamo a responsabili per stima costi entro 5 gg dalla chiusura;Trentin L.;;APERTA;N/D
