REGISTRO TAMPONI SUPERFICI - MOD-QA-19 - anno 2026 - lab. esterno Analytica Veneta S.r.l. (ACCREDIA 0987);;;;;;;;;;;;;;
AV-26/0225;25/05/26;28/05/26;1;ganasce PKM-450;L1;acciaio inox;CBT 30°C;ISO 4833-1;24;UFC/cm2;<=50;CONFORME;Pozzato S.;ricambio originale montato 15/05 - vedi MOD-PR-04
AV-26/0225;25/05/26;28/05/26;1;ganasce PKM-450;L1;acciaio inox;Enterobacteriaceae;ISO 21528-2;2;UFC/cm2;<=10;CONFORME;Pozzato S.;
AV-26/0225;25/05/26;30/05/26;3;scarico a pavimento sotto PT-104;L1;ghisa/PVC;Listeria monocytogenes;ISO 11290-1;ASSENTE;/25cm2;assente/25cm2;CONFORME;Pozzato S.;
AV-26/0225;25/05/26;30/05/26;3;scarico a pavimento lato PKM-450;L1;ghisa/PVC;Listeria monocytogenes;ISO 11290-1;ASSENTE;/25cm2;assente/25cm2;CONFORME;Pozzato S.;
AV-26/0225;25/05/26;28/05/26;2;ruote carrelli farcitura;L1;plastica;CBT 30°C;ISO 4833-1;1,3x10^2;UFC/cm2;<=500;CONFORME;Pozzato S.;
AV-26/0225;25/05/26;28/05/26;2;maniglie porta ingresso L1;L1;acciaio verniciato;CBT 30°C;ISO 4833-1;61;UFC/cm2;<=100;CONFORME;Pozzato S.;
AV-26/0225;25/05/26;28/05/26;1;mani operatore (addetto farcitura);L1;cute/guanto;Staphylococcus aureus;ISO 6888-1;<1;UFC/cm2;<=1;CONFORME;Pozzato S.;
AV-26/0225;25/05/26;28/05/26;1;guarnizioni cella CF-02;L3;gomma;Muffe;ISO 21527-1;15;UFC/cm2;<=100;CONFORME;Pozzato S.;
AV-26/0225;25/05/26;30/05/26;1;guarnizioni cella CF-02;L3;gomma;Listeria monocytogenes;ISO 11290-1;ASSENTE;/25cm2;assente/25cm2;CONFORME;Pozzato S.;
AV-26/0225;25/05/26;28/05/26;1;piano sfogliatrice;L2;acciaio inox;CBT 30°C;ISO 4833-1;18;UFC/cm2;<=50;CONFORME;Pozzato S.;
AV-26/0225;25/05/26;30/05/26;3;scarico a pavimento L2;L2;PVC;Listeria monocytogenes;ISO 11290-1;ASSENTE;/25cm2;assente/25cm2;CONFORME;Pozzato S.;
AV-26/0225;25/05/26;28/05/26;1;nastro uscita tunnel TS-01;L3;acciaio inox;CBT 30°C;ISO 4833-1;<10;UFC/cm2;<=50;CONFORME;Pozzato S.;
AV-26/0225;25/05/26;30/05/26;1;nastro uscita tunnel TS-01;L3;acciaio inox;Listeria monocytogenes;ISO 11290-1;ASSENTE;/25cm2;assente/25cm2;CONFORME;Pozzato S.;ultima campagna su TS-01 prima del collaudo CR-SP180 previsto autunno
