INVENTARIO FISICO MAGAZZINI AL 31/05/2026 - logica FEFO - estratto gestionale + conta manuale;;;;;;;;;;;;
compilato: Faggionato N. + Trentin L. (valorizzazione);ultimo agg. 01/06/26 h 7.40;;;;;;;;;;;
Ubicazione;Cod_Art;Descrizione;Lotto;Data_arrivo;Scadenza/TMC;Giacenza;UM;Valore_unit_€;Valore_tot_€;Stato;gg_alla_scadenza;Note
CF-02-A2-P10;AF-CR-0215;Cornetto PL Tosano 8x45 SURG pallet 10;L26143-L2-T2;23/05/26;23/05/27;720;CF;1,18;849,60;OK;357;
CF-02-A2-P11;AF-CR-0215;Cornetto PL Tosano 8x45 SURG pallet 11;L26143-L2-T2;23/05/26;23/05/27;720;CF;1,18;849,60;OK;357;
CF-02-A2-P12;AF-CR-0215;Cornetto PL Tosano 8x45 SURG pallet 12;L26143-L2-T2;23/05/26;23/05/27;720;CF;1,18;849,60;OK;357;
CF-02-A2-P13;AF-CR-0215;Cornetto PL Tosano 8x45 SURG pallet 13;L26143-L2-T2;23/05/26;23/05/27;720;CF;1,18;849,60;OK;357;
CF-02-A2-P14;AF-CR-0215;Cornetto PL Tosano 8x45 SURG pallet 14;L26143-L2-T2;23/05/26;23/05/27;720;CF;1,18;849,60;OK;357;
CF-02-A2-P15;AF-CR-0215;Cornetto PL Tosano 8x45 SURG pallet 15;L26143-L2-T2;23/05/26;23/05/27;720;CF;1,18;849,60;OK;357;
CF-02-A2-P16;AF-CR-0215;Cornetto PL Tosano 8x45 SURG pallet 16;L26143-L2-T2;23/05/26;23/05/27;720;CF;1,18;849,60;OK;357;
CF-02-A2-P17;AF-CR-0215;Cornetto PL Tosano 8x45 SURG pallet 17;L26143-L2-T2;23/05/26;23/05/27;720;CF;1,18;849,60;OK;357;
CF-02-A2-P18;AF-CR-0215;Cornetto PL Tosano 8x45 SURG pallet 18;L26143-L2-T2;23/05/26;23/05/27;720;CF;1,18;849,60;OK;357;
CF-02-A2-P19;AF-CR-0215;Cornetto PL Tosano 8x45 SURG pallet 19 incompleto;L26143-L2-T2;23/05/26;23/05/27;720;CF;1,18;849,60;OK;357;NO: contati 719? boh riverificare
CF-02-A3-P01;AF-CR-0215;Cornetto PL Tosano 8x45 SURG pallet 01;L26150-L2-T1;30/05/26;30/05/27;720;CF;1,18;849,60;OK;364;
CF-02-A3-P02;AF-CR-0215;Cornetto PL Tosano 8x45 SURG pallet 02;L26150-L2-T1;30/05/26;30/05/27;720;CF;1,18;849,60;OK;364;
CF-02-A3-P03;AF-CR-0215;Cornetto PL Tosano 8x45 SURG pallet 03;L26150-L2-T1;30/05/26;30/05/27;720;CF;1,18;849,60;OK;364;
CF-02-A3-P04;AF-CR-0215;Cornetto PL Tosano 8x45 SURG pallet 04;L26150-L2-T1;30/05/26;30/05/27;720;CF;1,18;849,60;OK;364;
CF-02-A3-P05;AF-CR-0215;Cornetto PL Tosano 8x45 SURG pallet 05;L26150-L2-T1;30/05/26;30/05/27;720;CF;1,18;849,60;OK;364;
CF-02-A3-P06;AF-CR-0215;Cornetto PL Tosano 8x45 SURG pallet 06;L26150-L2-T1;30/05/26;30/05/27;720;CF;1,18;849,60;OK;364;
CF-02-A3-P07;AF-CR-0215;Cornetto PL Tosano 8x45 SURG pallet 07;L26150-L2-T1;30/05/26;30/05/27;720;CF;1,18;849,60;OK;364;
CF-02-A3-P08;AF-CR-0215;Cornetto PL Tosano 8x45 SURG pallet 08 incompleto;L26150-L2-T1;30/05/26;30/05/27;860;CF;1,18;1.014,80;OK;364;pallet doppio strato? conta rifatta x2 ok
CF-02-A4-P01;AF-CR-0220;Sfogliatina bio SURG pallet 01;L26140-L2-T1;20/05/26;20/05/27;640;CF;1,05;672,00;OK;354;
CF-02-A4-P02;AF-CR-0220;Sfogliatina bio SURG pallet 02;L26140-L2-T1;20/05/26;20/05/27;640;CF;1,05;672,00;OK;354;
CF-02-A4-P03;AF-CR-0220;Sfogliatina bio SURG pallet 03 incompleto;L26140-L2-T1;20/05/26;20/05/27;570;CF;1,05;598,50;OK;354;
;;;;;;;;;;;;
;;DETTAGLIO PALLET ZONA PF-A (ATM ambiente) - conta 31/05 h 16.45;;;;;;;;;;
PF-A-01-P01;AF-SN-0450;Snack rustico ATM pallet 01;L26144-L1-T1;24/05/26;08/07/26;1.440;CF;0,71;1.022,40;OK;38;
PF-A-01-P02;AF-SN-0450;Snack rustico ATM pallet 02;L26144-L1-T1;24/05/26;08/07/26;1.440;CF;0,71;1.022,40;OK;38;
PF-A-01-P03;AF-SN-0450;Snack rustico ATM pallet 03;L26144-L1-T1;24/05/26;08/07/26;1.440;CF;0,71;1.022,40;OK;38;
PF-A-01-P04;AF-SN-0450;Snack rustico ATM pallet 04 residuo;L26144-L1-T1;24/05/26;08/07/26;0;CF;0,71;0,00;OK;38;spedito 30/05 a Ali - riga da chiudere a gestionale
PF-A-01-P05;AF-SN-0450;Snack rustico ATM pallet 05;L26146-L1-T2;26/05/26;10/07/26;1.440;CF;0,71;1.022,40;OK;40;
PF-A-01-P06;AF-SN-0450;Snack rustico ATM pallet 06;L26146-L1-T2;26/05/26;10/07/26;1.440;CF;0,71;1.022,40;OK;40;
PF-A-01-P07;AF-SN-0450;Snack rustico ATM pallet 07;L26146-L1-T2;26/05/26;10/07/26;1.440;CF;0,71;1.022,40;OK;40;
PF-A-01-P08;AF-SN-0450;Snack rustico ATM pallet 08;L26146-L1-T2;26/05/26;10/07/26;1.440;CF;0,71;1.022,40;OK;40;
PF-A-02-P01;AF-SN-0450;Snack rustico ATM pallet BLOCCATO gabbia 1;L26130-L1-T2;10/05/26;24/06/26;1.440;CF;0,71;1.022,40;BLOCCATO QA;24;cartello rosso NON SPEDIRE firmato Marchetti
PF-A-02-P02;AF-SN-0450;Snack rustico ATM pallet BLOCCATO gabbia 1;L26130-L1-T2;10/05/26;24/06/26;540;CF;0,71;383,40;BLOCCATO QA;24;
PF-A-02-P03;AF-SN-0450;Snack rustico ATM pallet BLOCCATO gabbia 2;L26131-L1-T2;11/05/26;25/06/26;1.340;CF;0,71;951,40;BLOCCATO QA;25;
PF-A-02-P04;AF-SN-0450;RIENTRO CE.DI. Cerea BLOCCATO gabbia 2;L26130-L1-T2;14/05/26;24/06/26;620;CF;0,71;440,20;BLOCCATO QA;24;colli misti - alcuni astucci rovinati
PF-A-03-P01;AF-SN-0455;Snack promo 3+1 pallet 01;L26149-L1-T1;29/05/26;13/07/26;1.300;CF;0,89;1.157,00;OK;43;
PF-A-03-P02;AF-SN-0455;Snack promo 3+1 pallet 02;L26149-L1-T1;29/05/26;13/07/26;1.300;CF;0,89;1.157,00;OK;43;
PF-A-03-P03;AF-SN-0455;Snack promo 3+1 pallet 03;L26149-L1-T1;29/05/26;13/07/26;1.300;CF;0,89;1.157,00;OK;43;
PF-A-04-P01;AF-FC-0330;Focaccina EVO ATM pallet 01;L26147-L1-T2;27/05/26;11/07/26;1.075;CF;0,64;688,00;OK;41;
PF-A-04-P02;AF-FC-0330;Focaccina EVO ATM pallet 02;L26147-L1-T2;27/05/26;11/07/26;1.075;CF;0,64;688,00;OK;41;
PF-A-04-P03;AF-FC-0330;Focaccina EVO ATM pallet 03 residuo;L26142-L1-T1;22/05/26;06/07/26;480;CF;0,64;307,20;IN SCADENZA;36;FEFO - prima uscita utile
;;;;;;;;;;;;
;;ALTRE UBICAZIONI MINORI / RICAMBI / VARIE;;;;;;;;;;
OFF-03;RIC-FT01;Resistenze forno FT-01 ricambio;FT-R-118;10/01/26;;4;PZ;220,00;880,00;OK;;
OFF-03;RIC-FT02;Tappeto rete forno FT-02;FT-R-119;10/01/26;;1;PZ;3.400,00;3.400,00;OK;;ordinato 2025 - mai montato
OFF-03;RIC-IMP300;Kit paraolio IMP-300;IMP-R-021;22/03/26;;2;KIT;68,00;136,00;OK;;
OFF-04;RIC-TS01;Piastre eutettiche TS-01 (obsoleto);TS-R-009;;;6;PZ;140,00;840,00;OK;;da rottamare con TS-01 quando arriva Criotech
OFF-04;CINGHIE-VAR;Cinghie trasmissione assortite;;;;28;PZ;12,00;336,00;OK;;cassetta officina - conta spannometrica
OFF-04;CUSCIN-VAR;Cuscinetti assortiti SKF;;;;35;PZ;9,50;332,50;OK;;
CHEM-03;CARTA-IND;Bobina carta industriale 800 strappi;CH26-C-190;06/05/26;;48;PZ;6,20;297,60;OK;;
CHEM-03;GUANTI-NITR;Guanti nitrile blu tg M/L ct 10 box;DPI26-077;06/05/26;;22;CT;28,00;616,00;OK;;consumo alto - riordinare
CHEM-03;CUFFIE-COPRIC;Cuffie copricapo ct 1000 pz;DPI26-078;06/05/26;;15;CT;9,80;147,00;OK;;
CHEM-03;CAMICI-TNT;Camici TNT visitatori;DPI26-052;12/03/26;;180;PZ;1,10;198,00;OK;;x audit e visite - ne servono x ispezione ULSS giugno
E-02-03;PLACC-ATM;Placchette test tenuta ATM (blu metilene);QA26-011;15/04/26;15/04/27;190;PZ;0,85;161,50;OK;319;uso QC Pozzato
E-02-04;INDIC-TT;Indicatori tempo-temperatura adesivi;QA26-014;15/04/26;15/10/26;240;PZ;1,20;288,00;OK;137;x spedizioni surgelato - richiesta Perbellini Tosano
;;;;;;;;;;;;
;;RIEPILOGO SCADENZE (conta manuale N.F.): 15 lotti entro 30 gg - 4 scaduti da smaltire - 2 BLOCCATO QA (L26130/L26131) + segregati vari;;;;;;;;;
;;valori PF a costo industriale - non a listino;;;;;;;;;;(nota Trentin: i totali li rifaccio io a chiusura mese)
